,importance
Entry Point,0.1135227691584883
'NEUTRAL',0.10092466538612968
'MSVCRT.DLL',0.07164555543678403
'WS2_32.DLL',0.06021025096471999
'WININET.DLL',0.05928930765063745
'USER32.DLL',0.04108418304807252
'ENGLISH US',0.03452493129886506
'CHINESE SIMPLIFIED',0.034204879639839474
'OLE32.DLL',0.03378636990379905
'CRYPT32.DLL',0.0333534655140927
'SHLWAPI.DLL',0.03010702426593647
'SHELL32.DLL',0.02822373748924809
'ADVAPI32.DLL',0.025700081833147783
'KERNEL32.DLL',0.02442760731002417
'COMCTL32.DLL',0.022367992911429158
'MSCOREE.DLL',0.020972607134999037
'VERSION.DLL',0.020968523811916003
'OLEAUT32.DLL',0.02049054948634341
'GDI32.DLL',0.020473579698571456
'MPR.DLL',0.019744029319572195
'WSOCK32.DLL',0.01715251506450291
'URLMON.DLL',0.01685379289637437
'IPHLPAPI.DLL',0.015248501121645488
'MFC42.DLL',0.011793999790273013
'KOREAN',0.011314680757747152
'COMDLG32.DLL',0.01008277667709712
'SECUR32.DLL',0.008598728018898135
'PSAPI.DLL',0.008123330907142266
'NETAPI32.DLL',0.007671772120518975
'MSVBVM60.DLL',0.007561952901160758
'MSVCP60.DLL',0.006378290814892673
'NEUTRAL DEFAULT',0.004551844608502232
'IMAGEHLP.DLL',0.004212386966227143
'ENGLISH UK',0.00366510853926921
'NETMGR.DLL',0.0035540366886377102
'USERENV.DLL',0.0035413967348336883
'WTSAPI32.DLL',0.003536995077860084
'WINMM.DLL',0.003403929830917971
'LZ32.DLL',0.003241740615235284
'WINSPOOL.DRV',0.003177597933974585
'DNSAPI.DLL',0.0031654373920972606
'GDIPLUS.DLL',0.0031464910070488584
'NTOSKRNL.EXE',0.0030159135254280885
'RPCRT4.DLL',0.002877102307708647
'RUSSIAN',0.0026913949792607777
'WINHTTP.DLL',0.001700682609208912
'JAPANESE DEFAULT',0.0014728323036123296
'GERMAN',0.0012710085271605
'HAL.DLL',0.0011016024159651847
'GLU32.DLL',0.0009637884472191834
'OLEDLG.DLL',0.0009402651952783549
'OPENGL32.DLL',0.0009182368567996694
'OLEACC.DLL',0.0009097925874924153
'TURKISH DEFAULT',0.0007492293634844639
'IMM32.DLL',0.0007226206791339702
'NTDLL.DLL',0.000691408111307854
'MSVCR80.DLL',0.00058956662205079
'KSECDD.SYS',0.0005776348264630832
'FRENCH',0.0005567822862922521
'AVICAP32.DLL',0.0004357470295683586
'MSIMG32.DLL',0.00041822335100243383
'SETUPAPI.DLL',0.0003153504250391822
'MSVCR90.DLL',0.0001989903490637448
'CHINESE TRADITIONAL',0.00016304140070573804
'MFC42U.DLL',0.0001525890146522443
'UXTHEME.DLL',0.00013089219141286022
'FLTMGR.SYS',0.00012472304790468063
'SPANISH MODERN',0.0001037277750099435
'DSOUND.DLL',7.821857324863658e-05
'D3D9.DLL',7.34056920716499e-05
'DDRAW.DLL',2.8971947294437843e-05
'JAPANESE NEUTRAL',1.9457681427644478e-05
'OLEPRO32.DLL',7.382150258998739e-06
'ALBANIAN DEFAULT',0.0
'DIVEHI NEUTRAL',0.0
'WLDAP32.DLL',0.0
'CRT.DLL',0.0
'COMSVCS.DLL',0.0
'ENGLISH CAN',0.0
'ENGLISH AUS',0.0
'CZECH DEFAULT',0.0
'AZERI LATIN',0.0
'CABINET.DLL',0.0
'AVIFIL32.DLL',0.0
'WWUTILS.DLL',0.0
'ENGLISH EIRE',0.0
